seed,nodes,topology,loss_rate,flood_repeats,protocol,phy,diameter,edges,proposals,committed,aborted,timed_out,avg_latency,listen,flood,sleep,nacks,piggybacks,ce_timeouts,end_slot
3,6,random,0.05,0,2pc_ce,ce,2,14,100,100,0,0,11.71,4141,2885,0,0,0,138,1171
3,6,random,0.05,0,tom_ce,ce,2,14,100,100,0,0,2.46,830,646,0,0,0,0,246
3,6,random,0.1,1,paxos_pipeline,ci,2,14,100,100,0,0,7.79,599,618,385,0,0,0,265
3,6,random,0.1,1,2pc_pipeline,ci,2,14,100,100,0,0,15.67,616,636,410,0,0,0,275
3,6,random,0.1,1,tom_pipeline,ci,2,14,100,100,0,0,2.60,583,600,377,0,0,0,260
3,6,random,0.1,0,paxos_ce,ce,2,14,100,100,0,0,6.75,2276,1774,0,0,0,4,675
3,6,random,0.1,0,2pc_ce,ce,2,14,100,100,0,0,12.44,4539,2925,0,0,0,188,1244
3,6,random,0.1,0,tom_ce,ce,2,14,100,100,0,0,2.59,895,659,0,0,0,0,259
3,6,random,0.2,1,paxos_pipeline,ci,2,14,100,100,0,0,8.44,703,671,522,0,0,0,287
3,6,random,0.2,1,2pc_pipeline,ci,2,14,100,100,0,0,16.99,680,636,490,0,0,0,297
3,6,random,0.2,1,tom_pipeline,ci,2,14,100,100,0,0,2.81,631,599,456,1,1,0,281
3,6,random,0.2,0,paxos_ce,ce,2,14,100,100,0,0,6.83,2371,1727,0,0,0,14,683
3,6,random,0.2,0,2pc_ce,ce,2,14,100,100,0,0,10.79,3853,2621,0,0,0,103,1079
3,6,random,0.2,0,tom_ce,ce,2,14,100,100,0,0,2.76,981,675,0,0,0,0,276
3,13,random,0,1,paxos_pipeline,ci,3,28,100,100,0,0,22.62,2246,1378,1563,0,0,0,395
3,13,random,0,1,2pc_pipeline,ci,3,28,100,100,0,0,49.00,2390,1469,1679,0,0,0,422
3,13,random,0,1,tom_pipeline,ci,3,28,100,100,0,0,3.77,2114,1300,1487,0,0,0,377
3,13,random,0,0,paxos_ce,ce,3,28,100,100,0,0,9.91,7623,5260,0,0,0,0,991
3,13,random,0,0,2pc_ce,ce,3,28,100,100,0,0,16.81,13021,8832,0,0,0,94,1681
3,13,random,0,0,tom_ce,ce,3,28,100,100,0,0,3.77,3214,1687,0,0,0,0,377
3,13,random,0.05,1,paxos_pipeline,ci,3,28,100,100,0,0,23.49,2315,1377,1677,1,12,0,409
3,13,random,0.05,1,2pc_pipeline,ci,3,28,100,100,0,0,49.89,2465,1469,1695,0,0,0,429
3,13,random,0.05,1,tom_pipeline,ci,3,28,100,100,0,0,3.91,2183,1299,1601,1,1,0,391
3,13,random,0.05,0,paxos_ce,ce,3,28,100,100,0,0,9.96,7721,5227,0,0,0,3,996
3,13,random,0.05,0,2pc_ce,ce,3,28,100,100,0,0,16.74,13087,8675,0,0,0,107,1674
3,13,random,0.05,0,tom_ce,ce,3,28,100,100,0,0,3.89,3331,1726,0,0,0,0,389
